trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
696,False,"{'a': 0.2, 'e': 0.03096183382317688}",25,14,19.95509507121915,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.2, 'e': 0.03080741103275108}",30,20,11.334431933529943,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.2, 'e': 0.030653758429205643}",25,15,16.313670018573287,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.2, 'e': 0.03050087217121748}",20,0,13.868519855932345,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
700,False,"{'a': 0.2, 'e': 0.0303487484366222}",20,8,20.96300976118683,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.2, 'e': 0.030197383422318504}",20,13,13.816387250527075,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.2, 'e': 0.030046773344173144}",25,11,28.109850347286727,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.2, 'e': 0.029896914436926308}",20,6,24.816976150561388,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.2, 'e': 0.02974780295409754}",20,15,10.21032962950829,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.2, 'e': 0.029599435167891996}",30,23,11.785730400057652,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.2, 'e': 0.029451807369107293}",20,13,12.447153579076732,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.2, 'e': 0.02930491586704075}",20,9,18.16358004132487,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.2, 'e': 0.029158756989397187}",35,26,15.941915558361217,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.2, 'e': 0.029013327082197053}",20,8,2.1368748446356163,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
710,False,"{'a': 0.2, 'e': 0.028868622509685086}",25,3,19.207458962810662,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
711,False,"{'a': 0.2, 'e': 0.028724639654239423}",20,9,17.728880853636692,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.2, 'e': 0.028581374916281203}",30,18,14.79980858781762,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.2, 'e': 0.028438824714184505}",25,4,17.320324886886613,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
714,False,"{'a': 0.2, 'e': 0.028296985484186854}",20,11,19.08812482409645,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
