trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.2, 'e': 0.2369277586821218}",25,11,-28.645874194799717,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.2, 'e': 0.23457028809379768}",20,8,-46.43460304989767,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
147,False,"{'a': 0.2, 'e': 0.2322362747297588}",30,1,12.257436683538232,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.22992548518672382}",25,20,11.036793202272849,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.2276376883838127}",20,7,-16.328554159233228,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.22537265553943875}",35,23,19.86832273543952,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.22313016014842985}",25,18,15.947166780228809,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.2209099779593782}",30,0,1.17273198455091,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
153,False,"{'a': 0.2, 'e': 0.21871188695221477}",25,10,-41.964675738487315,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
154,False,"{'a': 0.2, 'e': 0.21653566731600704}",20,3,-36.95103111679426,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
155,False,"{'a': 0.2, 'e': 0.21438110142697797}",20,11,16.271772437585785,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.21224797382674304}",25,3,-4.836313980280186,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.2, 'e': 0.21013607120076472}",25,0,-4.550724995319602,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
158,False,"{'a': 0.2, 'e': 0.20804518235702046}",35,6,43.12210635924665,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.20597509820488344}",20,0,9.466562878837205,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
160,False,"{'a': 0.2, 'e': 0.20392561173421342}",30,16,26.00088468613039,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.2018965179946554}",25,16,7.36494643895836,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.1998876140751445}",30,17,18.225949280085693,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
